Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.06576704166352E-08,5.0461395624095E-05,0.0452456793625988,0,0,0,2.69373187910818,0.0140821672825439,1.31359019203082E-05,-1.38320242243415E-08,0.0232313308730403,-1.31320133346517E-06,0.035126611569444,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/base_link.STL,,mb3-1/b3-1;mb3-1/bc2-1;mb3-1/bc2.1-1;mb3-1/batterycase1-1;mb3-1/bush-1;mb3-1/mount_mb2-1;mb3-1/orange_johnson_motor-1;mb3-1/pbc1-1;mb3-1/orange_johnson_motor-2;mb3-1/mount_mb2-2;mb3-1/bush-2;mb3-1/orange_johnson_motor-3;mb3-1/mount_mb2-3;mb3-1/bush-3;mb3-1/orange_johnson_motor-4;mb3-1/mount_mb2-4;mb3-1/bush-4,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_w_1,-2.89656558460916E-09,-0.0125186210572352,-1.18876435084569E-09,0,0,0,0.0504777738902435,1.072163463576E-05,5.68381219402724E-14,2.99451773861755E-12,2.03184487755734E-05,-4.83550236320034E-14,1.0721638279086E-05,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_w_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_w_1.STL,,mb3-1/Omni Wheel 58mm.step-2,Coordinate System2,Axis1,left_wheel_1,continuous,0.15707,0.12401,0.021466,0,0,-0.7854,base_link,0,1,0,0.15,62.8,,,,,,,,,,
l_w_2,-2.89657153818013E-09,-0.012481378942765,1.18876099242105E-09,0,0,0,0.0504777738902435,1.072163463576E-05,-5.68381265989536E-14,-2.99451773530149E-12,2.03184487755734E-05,-4.83550240605457E-14,1.0721638279086E-05,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_w_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_w_2.STL,,mb3-1/Omni Wheel 58mm.step-4,Coordinate System3,Axis2,left_wheel_2,continuous,-0.15707,0.12401,0.021466,0,0,0.7854,base_link,0,1,0,0.15,62.8,,,,,,,,,,
r_w_1,-2.91522599116245E-09,-0.0125186210577888,-1.14536571893531E-09,0,0,0,0.0504777738902435,1.072163472688E-05,5.59607503904298E-14,3.05378915842119E-12,2.03184487709906E-05,-4.9724085063857E-14,1.07216381852067E-05,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/r_w_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/r_w_1.STL,,mb3-1/Omni Wheel 58mm.step-1,Coordinate System5,Axis4,right_wheel_1,continuous,0.15707,-0.12401,0.021466,0,0,-2.3562,base_link,0,1,0,0.15,62.8,,,,,,,,,,
r_w_2,-2.89656559848694E-09,-0.0125186210572352,-1.18876435084569E-09,0,0,0,0.0504777738902435,1.072163463576E-05,5.68381291400524E-14,2.99451774440005E-12,2.03184487755734E-05,-4.83550244243178E-14,1.0721638279086E-05,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/r_w_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/r_w_2.STL,,mb3-1/Omni Wheel 58mm.step-3,Coordinate System4,Axis3,right_wheel_2,continuous,-0.15707,-0.12401,0.021466,0,0,2.3562,base_link,0,1,0,0.15,62.8,,,,,,,,,,
b_l_r_a,4.44623890588748E-07,-0.000996154548435727,-0.00804643222626951,0,0,0,0.116249243148473,0.000167392928325421,4.15791589133535E-10,9.79117547997397E-10,0.000159036900567516,-4.25075173756149E-06,0.000259058246227856,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/b_l_r_a.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/b_l_r_a.STL,,base-1,Coordinate System6,Axis5,base_link_robotic_arm,fixed,0,-0.000251066327383691,0.128075445337612,0,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
b_c,-0.00546458831519237,0.00347710142236766,0.0125577117039398,0,0,0,0.0604200477282411,4.99062130976845E-05,-1.86904738181228E-06,3.53801103219217E-06,3.86024291420684E-05,-6.94845065911115E-06,5.4045635735383E-05,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/b_c.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/b_c.STL,,basecap-1,Coordinate System8,Axis5,base_cap,revolute,0,-0.000251169157323783,0.0269245546623881,0,0,0,b_l_r_a,0,0,1,1.96,7,0,6.28,,,,,,,,
l_1,-5.65716005226924E-05,-0.00618598927357031,0.0648361174354542,0,0,0,0.128731432677727,0.000258308408929912,3.34921556031597E-08,-6.48144703014757E-07,0.000274268706640736,9.22798277243111E-07,2.88671311700221E-05,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_1.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_1.STL,,link1.1-1,Coordinate System7,Axis12,link_1,revolute,0.0039863,0.019685,0.035393,-3.1416,1.1933,-1.8204,b_c,0,1,0,1.96,7,-3.14,0,,,,,,,,
l_2,0.0126067947931968,0.000603475966723749,0.0824928058111489,0,0,0,0.177008667110947,0.000330823957730989,-1.75351875119104E-08,-2.35991040334064E-06,0.000293946233382623,-1.62482567582419E-06,6.08271693199073E-05,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_2.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_2.STL,,link2.1-1;link3.1-1,Coordinate System9,Axis6,link_2,revolute,0,0,0.129,0.025291,0,1.5708,l_1,1,0,0,1.96,7,-0.5,2.45,,,,,,,,
l_3,-0.00289262488094416,-0.00720080821213098,0.0213154983349823,0,0,0,0.033846599892907,2.83148439849104E-05,-1.40987705471454E-06,4.0011756946557E-06,2.75514082407632E-05,6.57449182926008E-06,1.061194326722E-05,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_3.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_omnibase_platform3/meshes/l_3.STL,,fga1-2/4.1-1,Coordinate System10,Axis7,link_3,revolute,-0.0055,0.0013065,0.179,-0.55829,0,3.1416,l_2,-1,0,0,1.96,7,-1.5,1,,,,,,,,
